A00	Vəba
W68.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W68.9.0	İdman məşğələləri zamanı
W68.9.1	Asudə vaxtda məşğələlər zamanı
W68.9.2	Gəlir əldə etmək üçün iş zamanı
W68.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W68.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W68.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W68.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69	Təbii su hövzəsində olarkən suda batma və boğulma
W69.0.0	İdman məşğələləri zamanı
W69.0.1	Asudə vaxtda məşğələlər zamanı
W69.0.2	Gəlir əldə etmək üçün iş zamanı
W69.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.1.0	İdman məşğələləri zamanı
W69.1.1	Asudə vaxtda məşğələlər zamanı
W69.1.2	Gəlir əldə etmək üçün iş zamanı
W69.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.2.0	İdman məşğələləri zamanı
W69.2.1	Asudə vaxtda məşğələlər zamanı
W69.2.2	Gəlir əldə etmək üçün iş zamanı
W69.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.3.0	İdman məşğələləri zamanı
W69.3.1	Asudə vaxtda məşğələlər zamanı
W69.3.2	Gəlir əldə etmək üçün iş zamanı
W69.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.4.0	İdman məşğələləri zamanı
W69.4.1	Asudə vaxtda məşğələlər zamanı
W69.4.2	Gəlir əldə etmək üçün iş zamanı
W69.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.5.0	İdman məşğələləri zamanı
W69.5.1	Asudə vaxtda məşğələlər zamanı
W69.5.2	Gəlir əldə etmək üçün iş zamanı
W69.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.6.0	İdman məşğələləri zamanı
W69.6.1	Asudə vaxtda məşğələlər zamanı
W69.6.2	Gəlir əldə etmək üçün iş zamanı
W69.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.7.0	İdman məşğələləri zamanı
W69.7.1	Asudə vaxtda məşğələlər zamanı
W69.7.2	Gəlir əldə etmək üçün iş zamanı
W69.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W69.8.0	İdman məşğələləri zamanı
W69.8.1	Asudə vaxtda məşğələlər zamanı
W69.8.2	Gəlir əldə etmək üçün iş zamanı
W69.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.8.8	Təbii su hövzəsində olarkən boğulma və suda batma,digər dəqiqləşdirilmiş yerlər
W69.8.9	Təbii su hövzəsində olarkən boğulma və suda batma,digər dəqiqləşdirimiş yerlər,dəqiqləşdirilməmiş yer
W69.9.0	İdman məşğələləri zamanı
W69.9.1	Asudə vaxtda məşğələlər zamanı
W69.9.2	Gəlir əldə etmək üçün iş zamanı
W69.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W69.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W69.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W69.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70	Təbii su hövzəsinə yıxılarkən suda batma və boğulma
W70.0.0	İdman məşğələləri zamanı
W70.0.1	Asudə vaxtda məşğələlər zamanı
W70.0.2	Gəlir əldə etmək üçün iş zamanı
W70.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.1.0	İdman məşğələləri zamanı
W70.1.1	Asudə vaxtda məşğələlər zamanı
W70.1.2	Gəlir əldə etmək üçün iş zamanı
W70.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.2.0	İdman məşğələləri zamanı
W70.2.1	Asudə vaxtda məşğələlər zamanı
W70.2.2	Gəlir əldə etmək üçün iş zamanı
W70.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.3.0	İdman məşğələləri zamanı
W70.3.1	Asudə vaxtda məşğələlər zamanı
W70.3.2	Gəlir əldə etmək üçün iş zamanı
W70.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.4.0	İdman məşğələləri zamanı
W70.4.1	Asudə vaxtda məşğələlər zamanı
W70.4.2	Gəlir əldə etmək üçün iş zamanı
W70.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.5.0	İdman məşğələləri zamanı
W70.5.1	Asudə vaxtda məşğələlər zamanı
W70.5.2	Gəlir əldə etmək üçün iş zamanı
W70.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.6.0	İdman məşğələləri zamanı
W70.6.1	Asudə vaxtda məşğələlər zamanı
W70.6.2	Gəlir əldə etmək üçün iş zamanı
W70.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.7.0	İdman məşğələləri zamanı
W70.7.1	Asudə vaxtda məşğələlər zamanı
W70.7.2	Gəlir əldə etmək üçün iş zamanı
W70.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.8.0	İdman məşğələləri zamanı
W70.8.1	Asudə vaxtda məşğələlər zamanı
W70.8.2	Gəlir əldə etmək üçün iş zamanı
W70.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W70.9.0	İdman məşğələləri zamanı
W70.9.1	Asudə vaxtda məşğələlər zamanı
W70.9.2	Gəlir əldə etmək üçün iş zamanı
W70.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W70.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W70.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W70.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73	Digər dəqiqləşdirilməmiş suda batma və boğulma hadisəsi
W73.0.0	İdman məşğələləri zamanı
W73.0.1	Asudə vaxtda məşğələlər zamanı
W73.0.2	Gəlir əldə etmək üçün iş zamanı
W73.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.1.0	İdman məşğələləri zamanı
W73.1.1	Asudə vaxtda məşğələlər zamanı
W73.1.2	Gəlir əldə etmək üçün iş zamanı
W73.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.2.0	İdman məşğələləri zamanı
W73.2.1	Asudə vaxtda məşğələlər zamanı
W73.2.2	Gəlir əldə etmək üçün iş zamanı
W73.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.3.0	İdman məşğələləri zamanı
W73.3.1	Asudə vaxtda məşğələlər zamanı
W73.3.2	Gəlir əldə etmək üçün iş zamanı
W73.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.4.0	İdman məşğələləri zamanı
W73.4.1	Asudə vaxtda məşğələlər zamanı
W73.4.2	Gəlir əldə etmək üçün iş zamanı
W73.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.5.0	İdman məşğələləri zamanı
W73.5.1	Asudə vaxtda məşğələlər zamanı
W73.5.2	Gəlir əldə etmək üçün iş zamanı
W73.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.6.0	İdman məşğələləri zamanı
W73.6.1	Asudə vaxtda məşğələlər zamanı
W73.6.2	Gəlir əldə etmək üçün iş zamanı
W73.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.7.0	İdman məşğələləri zamanı
W73.7.1	Asudə vaxtda məşğələlər zamanı
W73.7.2	Gəlir əldə etmək üçün iş zamanı
W73.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.8.0	İdman məşğələləri zamanı
W73.8.1	Asudə vaxtda məşğələlər zamanı
W73.8.2	Gəlir əldə etmək üçün iş zamanı
W73.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W73.9.0	İdman məşğələləri zamanı
W73.9.1	Asudə vaxtda məşğələlər zamanı
W73.9.2	Gəlir əldə etmək üçün iş zamanı
W73.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W73.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W73.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W73.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74	Dəqiqləşdirilməmiş suda batma və boğulma hadisəsi
W74.0.0	İdman məşğələləri zamanı
W74.0.1	Asudə vaxtda məşğələlər zamanı
W74.0.2	Gəlir əldə etmək üçün iş zamanı
W74.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.1.0	İdman məşğələləri zamanı
W74.1.1	Asudə vaxtda məşğələlər zamanı
W74.1.2	Gəlir əldə etmək üçün iş zamanı
W74.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.2.0	İdman məşğələləri zamanı
W74.2.1	Asudə vaxtda məşğələlər zamanı
W74.2.2	Gəlir əldə etmək üçün iş zamanı
W74.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.3.0	İdman məşğələləri zamanı
W74.3.1	Asudə vaxtda məşğələlər zamanı
W74.3.2	Gəlir əldə etmək üçün iş zamanı
W74.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.4.0	İdman məşğələləri zamanı
W74.4.1	Asudə vaxtda məşğələlər zamanı
W74.4.2	Gəlir əldə etmək üçün iş zamanı
W74.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.5.0	İdman məşğələləri zamanı
W74.5.1	Asudə vaxtda məşğələlər zamanı
W74.5.2	Gəlir əldə etmək üçün iş zamanı
W74.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.6.0	İdman məşğələləri zamanı
W74.6.1	Asudə vaxtda məşğələlər zamanı
W74.6.2	Gəlir əldə etmək üçün iş zamanı
W74.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.7.0	İdman məşğələləri zamanı
W74.7.1	Asudə vaxtda məşğələlər zamanı
W74.7.2	Gəlir əldə etmək üçün iş zamanı
W74.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.8.0	İdman məşğələləri zamanı
W74.8.1	Asudə vaxtda məşğələlər zamanı
W74.8.2	Gəlir əldə etmək üçün iş zamanı
W74.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W74.9.0	İdman məşğələləri zamanı
W74.9.1	Asudə vaxtda məşğələlər zamanı
W74.9.2	Gəlir əldə etmək üçün iş zamanı
W74.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W74.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W74.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W74.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W75	Çarpayıda təsadüfi boğulma və boğma
W75.0.0	İdman məşğələləri zamanı
W75.0.1	Asudə vaxtda məşğələlər zamanı
W75.0.2	Gəlir əldə etmək üçün iş zamanı
W75.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W75.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W75.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W75.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W75.1.0	İdman məşğələləri zamanı
W75.1.1	Asudə vaxtda məşğələlər zamanı
W75.1.2	Gəlir əldə etmək üçün iş zamanı
W75.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W75.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W75.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W75.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W75.2.0	İdman məşğələləri zamanı
W75.2.1	Asudə vaxtda məşğələlər zamanı
W75.2.2	Gəlir əldə etmək üçün iş zamanı
W75.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W75.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W75.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W75.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W75.3.0	İdman məşğələləri zamanı
W75.3.1	Asudə vaxtda məşğələlər zamanı
W75.3.2	Gəlir əldə etmək üçün iş zamanı
W75.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W75.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W75.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W75.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W75.4.0	İdman məşğələləri zamanı
W75.4.1	Asudə vaxtda məşğələlər zamanı
W75.4.2	Gəlir əldə etmək üçün iş zamanı
W75.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
W75.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
W75.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
W75.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
W75.5.0	İdman məşğələləri zamanı
W75.5.1	Asudə vaxtda məşğələlər zamanı
